2025.04.10 03:09:30 Features for EURUSD.r: price=1.09582, atr=0.00086786, signal=hold
2025.04.10 06:31:28 Features for GBPUSD.r: price=1.28471, atr=0.00098214, signal=hold
2025.04.10 06:31:28 Features for USDCAD.r: price=1.40863, atr=0.00085643, signal=hold
2025.04.10 06:31:28 Features for EURUSD.r: price=1.09822, atr=0.00105214, signal=hold
2025.04.10 06:31:28 Features for USDJPY.r: price=146.64500, atr=0.22142857, signal=hold
2025.04.10 06:31:28 Features for XAUUSD.r: price=3126.87000, atr=10.06500000, signal=hold
2025.04.10 06:31:28 Features for AUDUSD.r: price=0.61685, atr=0.00123214, signal=hold
2025.04.10 06:31:28 Features for GBPUSD.r: price=1.28471, atr=0.00098214, signal=hold
2025.04.10 06:31:28 Features for USDCAD.r: price=1.40863, atr=0.00085643, signal=hold
2025.04.10 06:31:28 Features for EURUSD.r: price=1.09822, atr=0.00105214, signal=hold
2025.04.10 06:31:28 Features for USDJPY.r: price=146.64500, atr=0.22142857, signal=hold
2025.04.10 06:31:28 Features for XAUUSD.r: price=3126.87000, atr=10.06500000, signal=hold
2025.04.10 06:31:28 Features for AUDUSD.r: price=0.61685, atr=0.00123214, signal=hold
2025.04.10 06:31:28 Features for GBPUSD.r: price=1.28471, atr=0.00098214, signal=hold
2025.04.10 06:31:28 Features for USDCAD.r: price=1.40863, atr=0.00085643, signal=hold
2025.04.10 06:31:29 Features for EURUSD.r: price=1.09822, atr=0.00105214, signal=hold
2025.04.10 06:31:29 Features for USDJPY.r: price=146.64600, atr=0.22142857, signal=hold
2025.04.10 06:31:29 Features for XAUUSD.r: price=3126.86000, atr=10.06500000, signal=hold
2025.04.10 06:31:29 Features for AUDUSD.r: price=0.61685, atr=0.00123214, signal=hold
2025.04.10 06:31:29 Features for GBPUSD.r: price=1.28470, atr=0.00098214, signal=hold
2025.04.10 06:31:29 Features for USDCAD.r: price=1.40863, atr=0.00085643, signal=hold
2025.04.10 06:31:29 Features for EURUSD.r: price=1.09822, atr=0.00105214, signal=hold
2025.04.10 06:31:29 Features for USDJPY.r: price=146.64600, atr=0.22142857, signal=hold
2025.04.10 06:31:29 Features for XAUUSD.r: price=3126.94000, atr=10.06500000, signal=hold
2025.04.10 06:31:29 Features for AUDUSD.r: price=0.61685, atr=0.00123214, signal=hold
2025.04.10 06:31:29 Features for GBPUSD.r: price=1.28470, atr=0.00098214, signal=hold
2025.04.10 06:31:29 Features for USDCAD.r: price=1.40863, atr=0.00085643, signal=hold
2025.04.10 06:38:24 Features for EURUSD.r: price=1.09831, atr=0.00108429, signal=hold
2025.04.10 06:38:24 Features for USDJPY.r: price=146.74100, atr=0.22907143, signal=hold
2025.04.10 06:38:24 Features for XAUUSD.r: price=3123.84000, atr=10.27071429, signal=hold
2025.04.10 06:38:24 Features for AUDUSD.r: price=0.61660, atr=0.00125643, signal=hold
2025.04.10 06:38:24 Features for GBPUSD.r: price=1.28455, atr=0.00101143, signal=hold
2025.04.10 06:38:24 Features for USDCAD.r: price=1.40846, atr=0.00087643, signal=hold
2025.04.10 06:38:24 Features for EURUSD.r: price=1.09831, atr=0.00108429, signal=hold
2025.04.10 06:38:24 Features for USDJPY.r: price=146.74100, atr=0.22907143, signal=hold
2025.04.10 06:38:24 Features for XAUUSD.r: price=3123.84000, atr=10.27071429, signal=hold
2025.04.10 06:38:24 Features for AUDUSD.r: price=0.61660, atr=0.00125643, signal=hold
2025.04.10 06:38:24 Features for GBPUSD.r: price=1.28455, atr=0.00101143, signal=hold
2025.04.10 06:38:24 Features for USDCAD.r: price=1.40846, atr=0.00087643, signal=hold
2025.04.10 06:38:24 Features for EURUSD.r: price=1.09831, atr=0.00108429, signal=hold
2025.04.10 06:38:24 Features for USDJPY.r: price=146.74100, atr=0.22907143, signal=hold
2025.04.10 06:38:24 Features for XAUUSD.r: price=3123.84000, atr=10.27071429, signal=hold
2025.04.10 06:38:24 Features for AUDUSD.r: price=0.61660, atr=0.00125643, signal=hold
2025.04.10 06:38:24 Features for GBPUSD.r: price=1.28455, atr=0.00101143, signal=hold
2025.04.10 06:38:24 Features for USDCAD.r: price=1.40846, atr=0.00087643, signal=hold
2025.04.10 06:38:24 Features for EURUSD.r: price=1.09831, atr=0.00108429, signal=hold
2025.04.10 06:38:24 Features for USDJPY.r: price=146.74100, atr=0.22907143, signal=hold
2025.04.10 06:38:24 Features for XAUUSD.r: price=3123.84000, atr=10.27071429, signal=hold
2025.04.10 06:38:24 Features for AUDUSD.r: price=0.61660, atr=0.00125643, signal=hold
2025.04.10 06:38:24 Features for GBPUSD.r: price=1.28455, atr=0.00101143, signal=hold
2025.04.10 06:38:24 Features for USDCAD.r: price=1.40846, atr=0.00087643, signal=hold
2025.04.10 06:38:24 Features for EURUSD.r: price=1.09831, atr=0.00108429, signal=hold
2025.04.10 06:38:24 Features for USDJPY.r: price=146.74100, atr=0.22907143, signal=hold
2025.04.10 06:38:24 Features for XAUUSD.r: price=3123.89000, atr=10.27071429, signal=hold
2025.04.10 06:38:24 Features for AUDUSD.r: price=0.61660, atr=0.00125643, signal=hold
2025.04.10 06:38:24 Features for GBPUSD.r: price=1.28455, atr=0.00101143, signal=hold
2025.04.10 06:38:24 Features for USDCAD.r: price=1.40845, atr=0.00087643, signal=hold
2025.04.10 06:38:24 Features for EURUSD.r: price=1.09831, atr=0.00108429, signal=hold
2025.04.10 06:38:24 Features for USDJPY.r: price=146.74100, atr=0.22907143, signal=hold
2025.04.10 06:38:24 Features for XAUUSD.r: price=3123.89000, atr=10.27071429, signal=hold
2025.04.10 06:38:24 Features for AUDUSD.r: price=0.61660, atr=0.00125643, signal=hold
2025.04.10 06:38:24 Features for GBPUSD.r: price=1.28455, atr=0.00101143, signal=hold
2025.04.10 06:38:24 Features for USDCAD.r: price=1.40845, atr=0.00087643, signal=hold
2025.04.10 06:45:24 Features for EURUSD.r: price=1.09814, atr=0.00098571, signal=buy
2025.04.10 06:45:24 Features for USDJPY.r: price=146.82600, atr=0.19857143, signal=hold
2025.04.10 06:45:24 Features for XAUUSD.r: price=3122.43000, atr=9.73857143, signal=hold
2025.04.10 06:45:24 Features for AUDUSD.r: price=0.61709, atr=0.00118429, signal=buy
2025.04.10 06:45:24 Features for GBPUSD.r: price=1.28468, atr=0.00098643, signal=hold
2025.04.10 06:45:24 Features for USDCAD.r: price=1.40815, atr=0.00082929, signal=hold
2025.04.10 06:45:24 Features for EURUSD.r: price=1.09814, atr=0.00098571, signal=buy
2025.04.10 06:45:24 Features for USDJPY.r: price=146.82600, atr=0.19857143, signal=hold
2025.04.10 06:45:24 Features for XAUUSD.r: price=3122.43000, atr=9.73857143, signal=hold
2025.04.10 06:45:24 Features for AUDUSD.r: price=0.61709, atr=0.00118429, signal=buy
2025.04.10 06:45:24 Features for GBPUSD.r: price=1.28468, atr=0.00098643, signal=hold
2025.04.10 06:45:24 Features for USDCAD.r: price=1.40815, atr=0.00082929, signal=hold
2025.04.10 06:45:24 Features for EURUSD.r: price=1.09815, atr=0.00098571, signal=buy
2025.04.10 06:45:24 Features for USDJPY.r: price=146.82600, atr=0.19857143, signal=hold
2025.04.10 06:45:24 Features for XAUUSD.r: price=3122.43000, atr=9.73857143, signal=hold
2025.04.10 06:45:24 Features for AUDUSD.r: price=0.61714, atr=0.00118786, signal=buy
2025.04.10 06:45:24 Features for GBPUSD.r: price=1.28469, atr=0.00098643, signal=hold
2025.04.10 06:45:24 Features for USDCAD.r: price=1.40808, atr=0.00082929, signal=hold
2025.04.10 06:45:24 Features for EURUSD.r: price=1.09815, atr=0.00098571, signal=buy
2025.04.10 06:45:24 Features for USDJPY.r: price=146.82500, atr=0.19857143, signal=hold
2025.04.10 06:45:24 Features for XAUUSD.r: price=3122.44000, atr=9.73857143, signal=hold
2025.04.10 06:45:24 Features for AUDUSD.r: price=0.61714, atr=0.00118786, signal=buy
2025.04.10 06:45:24 Features for GBPUSD.r: price=1.28469, atr=0.00098643, signal=hold
2025.04.10 06:45:24 Features for USDCAD.r: price=1.40808, atr=0.00082929, signal=hold
2025.04.10 06:45:24 Features for EURUSD.r: price=1.09815, atr=0.00098571, signal=buy
2025.04.10 06:45:24 Features for USDJPY.r: price=146.82500, atr=0.19857143, signal=hold
2025.04.10 06:45:24 Features for XAUUSD.r: price=3122.44000, atr=9.73857143, signal=hold
2025.04.10 06:45:24 Features for AUDUSD.r: price=0.61714, atr=0.00118786, signal=buy
2025.04.10 06:45:24 Features for GBPUSD.r: price=1.28469, atr=0.00098643, signal=hold
2025.04.10 06:45:24 Features for USDCAD.r: price=1.40808, atr=0.00082929, signal=hold
2025.04.10 06:45:24 Features for EURUSD.r: price=1.09815, atr=0.00098571, signal=buy
2025.04.10 06:45:24 Features for USDJPY.r: price=146.82000, atr=0.19857143, signal=hold
2025.04.10 06:45:24 Features for XAUUSD.r: price=3122.44000, atr=9.73857143, signal=hold
2025.04.10 06:45:24 Features for AUDUSD.r: price=0.61716, atr=0.00118929, signal=buy
2025.04.10 06:45:24 Features for GBPUSD.r: price=1.28469, atr=0.00098643, signal=hold
2025.04.10 06:45:24 Features for USDCAD.r: price=1.40808, atr=0.00082929, signal=hold
2025.04.10 07:00:24 Features for EURUSD.r: price=1.09806, atr=0.00093429, signal=buy
2025.04.10 07:00:24 Features for USDJPY.r: price=146.84700, atr=0.18750000, signal=hold
2025.04.10 07:00:24 Features for XAUUSD.r: price=3127.47000, atr=9.72357143, signal=hold
2025.04.10 07:00:24 Features for AUDUSD.r: price=0.61762, atr=0.00111000, signal=buy
2025.04.10 07:00:24 Features for GBPUSD.r: price=1.28452, atr=0.00096357, signal=hold
2025.04.10 07:00:24 Features for USDCAD.r: price=1.40787, atr=0.00082429, signal=hold
2025.04.10 07:00:24 Features for EURUSD.r: price=1.09806, atr=0.00093429, signal=buy
2025.04.10 07:00:24 Features for USDJPY.r: price=146.84700, atr=0.18750000, signal=hold
2025.04.10 07:00:24 Features for XAUUSD.r: price=3127.47000, atr=9.72357143, signal=hold
2025.04.10 07:00:24 Features for AUDUSD.r: price=0.61762, atr=0.00111000, signal=buy
2025.04.10 07:00:24 Features for GBPUSD.r: price=1.28452, atr=0.00096357, signal=hold
2025.04.10 07:00:24 Features for USDCAD.r: price=1.40787, atr=0.00082429, signal=hold
2025.04.10 07:00:24 Features for EURUSD.r: price=1.09806, atr=0.00093429, signal=buy
2025.04.10 07:00:24 Features for USDJPY.r: price=146.84700, atr=0.18750000, signal=hold
2025.04.10 07:00:24 Features for XAUUSD.r: price=3127.47000, atr=9.72357143, signal=hold
2025.04.10 07:00:24 Features for AUDUSD.r: price=0.61762, atr=0.00111000, signal=buy
2025.04.10 07:00:24 Features for GBPUSD.r: price=1.28452, atr=0.00096357, signal=hold
2025.04.10 07:00:24 Features for USDCAD.r: price=1.40787, atr=0.00082429, signal=hold
2025.04.10 07:00:24 Features for EURUSD.r: price=1.09806, atr=0.00093429, signal=buy
2025.04.10 07:00:24 Features for USDJPY.r: price=146.84700, atr=0.18750000, signal=hold
2025.04.10 07:00:24 Features for XAUUSD.r: price=3127.47000, atr=9.72357143, signal=hold
2025.04.10 07:00:24 Features for AUDUSD.r: price=0.61762, atr=0.00111000, signal=buy
2025.04.10 07:00:24 Features for GBPUSD.r: price=1.28452, atr=0.00096357, signal=hold
2025.04.10 07:00:24 Features for USDCAD.r: price=1.40787, atr=0.00082429, signal=hold
2025.04.10 07:00:24 Features for EURUSD.r: price=1.09806, atr=0.00093429, signal=buy
2025.04.10 07:00:24 Features for USDJPY.r: price=146.84700, atr=0.18750000, signal=hold
2025.04.10 07:00:24 Features for XAUUSD.r: price=3127.47000, atr=9.72357143, signal=hold
2025.04.10 07:00:24 Features for AUDUSD.r: price=0.61762, atr=0.00111000, signal=buy
2025.04.10 07:00:24 Features for GBPUSD.r: price=1.28452, atr=0.00096357, signal=hold
2025.04.10 07:00:24 Features for USDCAD.r: price=1.40787, atr=0.00082429, signal=hold
2025.04.10 07:00:24 Features for EURUSD.r: price=1.09806, atr=0.00093429, signal=buy
2025.04.10 07:00:24 Features for USDJPY.r: price=146.84700, atr=0.18750000, signal=hold
2025.04.10 07:00:24 Features for XAUUSD.r: price=3127.47000, atr=9.72357143, signal=hold
2025.04.10 07:00:24 Features for AUDUSD.r: price=0.61762, atr=0.00111000, signal=buy
2025.04.10 07:00:24 Features for GBPUSD.r: price=1.28452, atr=0.00096357, signal=hold
2025.04.10 07:00:24 Features for USDCAD.r: price=1.40787, atr=0.00082429, signal=hold
2025.04.10 07:15:24 Features for EURUSD.r: price=1.09832, atr=0.00089929, signal=buy
2025.04.10 07:15:24 Features for USDJPY.r: price=146.68700, atr=0.18571429, signal=hold
2025.04.10 07:15:24 Features for XAUUSD.r: price=3125.63000, atr=9.44000000, signal=hold
2025.04.10 07:15:24 Features for AUDUSD.r: price=0.61783, atr=0.00112429, signal=buy
2025.04.10 07:15:24 Features for GBPUSD.r: price=1.28482, atr=0.00093571, signal=hold
2025.04.10 07:15:24 Features for USDCAD.r: price=1.40798, atr=0.00077571, signal=hold
2025.04.10 07:15:24 Features for EURUSD.r: price=1.09832, atr=0.00089929, signal=buy
2025.04.10 07:15:24 Features for USDJPY.r: price=146.68700, atr=0.18571429, signal=hold
2025.04.10 07:15:24 Features for XAUUSD.r: price=3125.63000, atr=9.44000000, signal=hold
2025.04.10 07:15:24 Features for AUDUSD.r: price=0.61783, atr=0.00112429, signal=buy
2025.04.10 07:15:24 Features for GBPUSD.r: price=1.28482, atr=0.00093571, signal=hold
2025.04.10 07:15:24 Features for USDCAD.r: price=1.40798, atr=0.00077571, signal=hold
2025.04.10 07:15:24 Features for EURUSD.r: price=1.09832, atr=0.00089929, signal=buy
2025.04.10 07:15:24 Features for USDJPY.r: price=146.68700, atr=0.18571429, signal=hold
2025.04.10 07:15:24 Features for XAUUSD.r: price=3125.63000, atr=9.44000000, signal=hold
2025.04.10 07:15:24 Features for AUDUSD.r: price=0.61783, atr=0.00112429, signal=buy
2025.04.10 07:15:24 Features for GBPUSD.r: price=1.28482, atr=0.00093571, signal=hold
2025.04.10 07:15:24 Features for USDCAD.r: price=1.40798, atr=0.00077571, signal=hold
2025.04.10 07:15:24 Features for EURUSD.r: price=1.09832, atr=0.00089929, signal=buy
2025.04.10 07:15:24 Features for USDJPY.r: price=146.68700, atr=0.18571429, signal=hold
2025.04.10 07:15:24 Features for XAUUSD.r: price=3125.63000, atr=9.44000000, signal=hold
2025.04.10 07:15:24 Features for AUDUSD.r: price=0.61783, atr=0.00112429, signal=buy
2025.04.10 07:15:24 Features for GBPUSD.r: price=1.28482, atr=0.00093571, signal=hold
2025.04.10 07:15:24 Features for USDCAD.r: price=1.40798, atr=0.00077571, signal=hold
2025.04.10 07:15:24 Features for EURUSD.r: price=1.09832, atr=0.00089929, signal=buy
2025.04.10 07:15:24 Features for USDJPY.r: price=146.68700, atr=0.18571429, signal=hold
2025.04.10 07:15:24 Features for XAUUSD.r: price=3125.63000, atr=9.44000000, signal=hold
2025.04.10 07:15:24 Features for AUDUSD.r: price=0.61783, atr=0.00112429, signal=buy
2025.04.10 07:15:24 Features for GBPUSD.r: price=1.28482, atr=0.00093571, signal=hold
2025.04.10 07:15:24 Features for USDCAD.r: price=1.40798, atr=0.00077571, signal=hold
2025.04.10 07:15:24 Features for EURUSD.r: price=1.09833, atr=0.00089929, signal=buy
2025.04.10 07:15:24 Features for USDJPY.r: price=146.68700, atr=0.18571429, signal=hold
2025.04.10 07:15:24 Features for XAUUSD.r: price=3125.63000, atr=9.44000000, signal=hold
2025.04.10 07:15:24 Features for AUDUSD.r: price=0.61783, atr=0.00112429, signal=buy
2025.04.10 07:15:24 Features for GBPUSD.r: price=1.28482, atr=0.00093571, signal=hold
2025.04.10 07:15:24 Features for USDCAD.r: price=1.40798, atr=0.00077571, signal=hold
2025.04.10 07:30:24 Features for EURUSD.r: price=1.09841, atr=0.00089286, signal=buy
2025.04.10 07:30:24 Features for USDJPY.r: price=146.56500, atr=0.18392857, signal=hold
2025.04.10 07:30:24 Features for XAUUSD.r: price=3125.55000, atr=8.74142857, signal=hold
2025.04.10 07:30:24 Features for AUDUSD.r: price=0.61803, atr=0.00102571, signal=buy
2025.04.10 07:30:24 Features for GBPUSD.r: price=1.28512, atr=0.00088143, signal=hold
2025.04.10 07:30:24 Features for USDCAD.r: price=1.40777, atr=0.00075000, signal=hold
2025.04.10 07:30:24 Features for EURUSD.r: price=1.09841, atr=0.00089286, signal=buy
2025.04.10 07:30:24 Features for USDJPY.r: price=146.56500, atr=0.18392857, signal=hold
2025.04.10 07:30:24 Features for XAUUSD.r: price=3125.55000, atr=8.74142857, signal=hold
2025.04.10 07:30:24 Features for AUDUSD.r: price=0.61803, atr=0.00102571, signal=buy
2025.04.10 07:30:24 Features for GBPUSD.r: price=1.28512, atr=0.00088143, signal=hold
2025.04.10 07:30:24 Features for USDCAD.r: price=1.40777, atr=0.00075000, signal=hold
2025.04.10 07:30:24 Features for EURUSD.r: price=1.09841, atr=0.00089286, signal=buy
2025.04.10 07:30:24 Features for USDJPY.r: price=146.56500, atr=0.18392857, signal=hold
2025.04.10 07:30:24 Features for XAUUSD.r: price=3125.55000, atr=8.74142857, signal=hold
2025.04.10 07:30:24 Features for AUDUSD.r: price=0.61803, atr=0.00102571, signal=buy
2025.04.10 07:30:24 Features for GBPUSD.r: price=1.28512, atr=0.00088143, signal=hold
2025.04.10 07:30:24 Features for USDCAD.r: price=1.40777, atr=0.00075000, signal=hold
2025.04.10 07:30:24 Features for EURUSD.r: price=1.09841, atr=0.00089286, signal=buy
2025.04.10 07:30:24 Features for USDJPY.r: price=146.56400, atr=0.18392857, signal=hold
2025.04.10 07:30:24 Features for XAUUSD.r: price=3125.55000, atr=8.74142857, signal=hold
2025.04.10 07:30:24 Features for AUDUSD.r: price=0.61803, atr=0.00102571, signal=buy
2025.04.10 07:30:24 Features for GBPUSD.r: price=1.28512, atr=0.00088143, signal=hold
2025.04.10 07:30:24 Features for USDCAD.r: price=1.40777, atr=0.00075000, signal=hold
2025.04.10 07:30:24 Features for EURUSD.r: price=1.09841, atr=0.00089286, signal=buy
2025.04.10 07:30:24 Features for USDJPY.r: price=146.56100, atr=0.18392857, signal=hold
2025.04.10 07:30:24 Features for XAUUSD.r: price=3125.55000, atr=8.74142857, signal=hold
2025.04.10 07:30:24 Features for AUDUSD.r: price=0.61803, atr=0.00102571, signal=buy
2025.04.10 07:30:24 Features for GBPUSD.r: price=1.28512, atr=0.00088143, signal=hold
2025.04.10 07:30:24 Features for USDCAD.r: price=1.40777, atr=0.00075000, signal=hold
2025.04.10 07:30:24 Features for EURUSD.r: price=1.09841, atr=0.00089286, signal=buy
2025.04.10 07:30:24 Features for USDJPY.r: price=146.56100, atr=0.18392857, signal=hold
2025.04.10 07:30:24 Features for XAUUSD.r: price=3125.55000, atr=8.74142857, signal=hold
2025.04.10 07:30:24 Features for AUDUSD.r: price=0.61803, atr=0.00102571, signal=buy
2025.04.10 07:30:24 Features for GBPUSD.r: price=1.28512, atr=0.00088143, signal=hold
2025.04.10 07:30:24 Features for USDCAD.r: price=1.40777, atr=0.00075000, signal=hold
2025.04.10 07:45:24 Features for EURUSD.r: price=1.09787, atr=0.00087643, signal=buy
2025.04.10 07:45:24 Features for USDJPY.r: price=146.62700, atr=0.17528571, signal=hold
2025.04.10 07:45:24 Features for XAUUSD.r: price=3122.94000, atr=8.60928571, signal=hold
2025.04.10 07:45:24 Features for AUDUSD.r: price=0.61834, atr=0.00097357, signal=buy
2025.04.10 07:45:24 Features for GBPUSD.r: price=1.28531, atr=0.00084643, signal=hold
2025.04.10 07:45:24 Features for USDCAD.r: price=1.40770, atr=0.00070214, signal=hold
2025.04.10 07:45:24 Features for EURUSD.r: price=1.09787, atr=0.00087643, signal=buy
2025.04.10 07:45:24 Features for USDJPY.r: price=146.62700, atr=0.17528571, signal=hold
2025.04.10 07:45:24 Features for XAUUSD.r: price=3122.94000, atr=8.60928571, signal=hold
2025.04.10 07:45:24 Features for AUDUSD.r: price=0.61834, atr=0.00097357, signal=buy
2025.04.10 07:45:24 Features for GBPUSD.r: price=1.28531, atr=0.00084643, signal=hold
2025.04.10 07:45:24 Features for USDCAD.r: price=1.40770, atr=0.00070214, signal=hold
2025.04.10 07:45:24 Features for EURUSD.r: price=1.09787, atr=0.00087643, signal=buy
2025.04.10 07:45:24 Features for USDJPY.r: price=146.62600, atr=0.17528571, signal=hold
2025.04.10 07:45:24 Features for XAUUSD.r: price=3122.94000, atr=8.60928571, signal=hold
2025.04.10 07:45:24 Features for AUDUSD.r: price=0.61834, atr=0.00097357, signal=buy
2025.04.10 07:45:24 Features for GBPUSD.r: price=1.28531, atr=0.00084643, signal=hold
2025.04.10 07:45:24 Features for USDCAD.r: price=1.40770, atr=0.00070214, signal=hold
2025.04.10 07:45:24 Features for EURUSD.r: price=1.09787, atr=0.00087643, signal=buy
2025.04.10 07:45:24 Features for USDJPY.r: price=146.62600, atr=0.17528571, signal=hold
2025.04.10 07:45:24 Features for XAUUSD.r: price=3122.94000, atr=8.60928571, signal=hold
2025.04.10 07:45:24 Features for AUDUSD.r: price=0.61834, atr=0.00097357, signal=buy
2025.04.10 07:45:24 Features for GBPUSD.r: price=1.28531, atr=0.00084643, signal=hold
2025.04.10 07:45:24 Features for USDCAD.r: price=1.40770, atr=0.00070214, signal=hold
2025.04.10 07:45:24 Features for EURUSD.r: price=1.09787, atr=0.00087643, signal=buy
2025.04.10 07:45:24 Features for USDJPY.r: price=146.62700, atr=0.17528571, signal=hold
2025.04.10 07:45:24 Features for XAUUSD.r: price=3122.94000, atr=8.60928571, signal=hold
2025.04.10 07:45:24 Features for AUDUSD.r: price=0.61834, atr=0.00097357, signal=buy
2025.04.10 07:45:24 Features for GBPUSD.r: price=1.28531, atr=0.00084643, signal=hold
2025.04.10 07:45:24 Features for USDCAD.r: price=1.40770, atr=0.00070214, signal=hold
2025.04.10 07:45:24 Features for EURUSD.r: price=1.09787, atr=0.00087643, signal=buy
2025.04.10 07:45:24 Features for USDJPY.r: price=146.62700, atr=0.17528571, signal=hold
2025.04.10 07:45:24 Features for XAUUSD.r: price=3122.94000, atr=8.60928571, signal=hold
2025.04.10 07:45:24 Features for AUDUSD.r: price=0.61834, atr=0.00097357, signal=buy
2025.04.10 07:45:24 Features for GBPUSD.r: price=1.28531, atr=0.00084643, signal=hold
2025.04.10 07:45:24 Features for USDCAD.r: price=1.40770, atr=0.00070214, signal=hold
2025.04.10 08:00:24 Features for EURUSD.r: price=1.09831, atr=0.00086214, signal=buy
2025.04.10 08:00:24 Features for USDJPY.r: price=146.64300, atr=0.17107143, signal=hold
2025.04.10 08:00:24 Features for XAUUSD.r: price=3125.81000, atr=8.22428571, signal=hold
2025.04.10 08:00:24 Features for AUDUSD.r: price=0.61850, atr=0.00097357, signal=buy
2025.04.10 08:00:24 Features for GBPUSD.r: price=1.28592, atr=0.00086500, signal=hold
2025.04.10 08:00:24 Features for USDCAD.r: price=1.40711, atr=0.00070929, signal=hold
2025.04.10 08:00:24 Features for EURUSD.r: price=1.09831, atr=0.00086214, signal=buy
2025.04.10 08:00:24 Features for USDJPY.r: price=146.64300, atr=0.17107143, signal=hold
2025.04.10 08:00:24 Features for XAUUSD.r: price=3125.81000, atr=8.22428571, signal=hold
2025.04.10 08:00:24 Features for AUDUSD.r: price=0.61850, atr=0.00097357, signal=buy
2025.04.10 08:00:24 Features for GBPUSD.r: price=1.28592, atr=0.00086500, signal=hold
2025.04.10 08:00:24 Features for USDCAD.r: price=1.40711, atr=0.00070929, signal=hold
2025.04.10 08:00:24 Features for EURUSD.r: price=1.09831, atr=0.00086214, signal=buy
2025.04.10 08:00:24 Features for USDJPY.r: price=146.64300, atr=0.17107143, signal=hold
2025.04.10 08:00:24 Features for XAUUSD.r: price=3125.81000, atr=8.22428571, signal=hold
2025.04.10 08:00:24 Features for AUDUSD.r: price=0.61850, atr=0.00097357, signal=buy
2025.04.10 08:00:24 Features for GBPUSD.r: price=1.28592, atr=0.00086500, signal=hold
2025.04.10 08:00:24 Features for USDCAD.r: price=1.40711, atr=0.00070929, signal=hold
2025.04.10 08:00:24 Features for EURUSD.r: price=1.09831, atr=0.00086214, signal=buy
2025.04.10 08:00:24 Features for USDJPY.r: price=146.64300, atr=0.17107143, signal=hold
2025.04.10 08:00:24 Features for XAUUSD.r: price=3125.81000, atr=8.22428571, signal=hold
2025.04.10 08:00:24 Features for AUDUSD.r: price=0.61850, atr=0.00097357, signal=buy
2025.04.10 08:00:24 Features for GBPUSD.r: price=1.28592, atr=0.00086500, signal=hold
2025.04.10 08:00:24 Features for USDCAD.r: price=1.40711, atr=0.00070929, signal=hold
2025.04.10 08:00:24 Features for EURUSD.r: price=1.09831, atr=0.00086214, signal=buy
2025.04.10 08:00:24 Features for USDJPY.r: price=146.64300, atr=0.17107143, signal=hold
2025.04.10 08:00:24 Features for XAUUSD.r: price=3125.81000, atr=8.22428571, signal=hold
2025.04.10 08:00:24 Features for AUDUSD.r: price=0.61850, atr=0.00097357, signal=buy
2025.04.10 08:00:24 Features for GBPUSD.r: price=1.28592, atr=0.00086500, signal=hold
2025.04.10 08:00:24 Features for USDCAD.r: price=1.40711, atr=0.00070929, signal=hold
2025.04.10 08:00:24 Features for EURUSD.r: price=1.09831, atr=0.00086214, signal=buy
2025.04.10 08:00:24 Features for USDJPY.r: price=146.64300, atr=0.17107143, signal=hold
2025.04.10 08:00:24 Features for XAUUSD.r: price=3125.81000, atr=8.22428571, signal=hold
2025.04.10 08:00:24 Features for AUDUSD.r: price=0.61850, atr=0.00097357, signal=buy
2025.04.10 08:00:24 Features for GBPUSD.r: price=1.28592, atr=0.00086500, signal=hold
2025.04.10 08:00:24 Features for USDCAD.r: price=1.40711, atr=0.00070929, signal=hold
2025.04.10 08:15:24 Features for EURUSD.r: price=1.09803, atr=0.00083500, signal=buy
2025.04.10 08:15:24 Features for USDJPY.r: price=146.69400, atr=0.16942857, signal=hold
2025.04.10 08:15:24 Features for XAUUSD.r: price=3130.01000, atr=8.07142857, signal=hold
2025.04.10 08:15:24 Features for AUDUSD.r: price=0.61854, atr=0.00090714, signal=buy
2025.04.10 08:15:24 Features for GBPUSD.r: price=1.28552, atr=0.00085643, signal=hold
2025.04.10 08:15:24 Features for USDCAD.r: price=1.40730, atr=0.00068929, signal=hold
2025.04.10 08:15:24 Features for EURUSD.r: price=1.09804, atr=0.00083500, signal=buy
2025.04.10 08:15:24 Features for USDJPY.r: price=146.69400, atr=0.16942857, signal=hold
2025.04.10 08:15:24 Features for XAUUSD.r: price=3130.01000, atr=8.07142857, signal=hold
2025.04.10 08:15:24 Features for AUDUSD.r: price=0.61854, atr=0.00090714, signal=buy
2025.04.10 08:15:24 Features for GBPUSD.r: price=1.28552, atr=0.00085643, signal=hold
2025.04.10 08:15:24 Features for USDCAD.r: price=1.40730, atr=0.00068929, signal=hold
2025.04.10 08:15:24 Features for EURUSD.r: price=1.09804, atr=0.00083500, signal=buy
2025.04.10 08:15:24 Features for USDJPY.r: price=146.69400, atr=0.16942857, signal=hold
2025.04.10 08:15:24 Features for XAUUSD.r: price=3130.01000, atr=8.07142857, signal=hold
2025.04.10 08:15:24 Features for AUDUSD.r: price=0.61854, atr=0.00090714, signal=buy
2025.04.10 08:15:24 Features for GBPUSD.r: price=1.28552, atr=0.00085643, signal=hold
2025.04.10 08:15:24 Features for USDCAD.r: price=1.40730, atr=0.00068929, signal=hold
2025.04.10 08:15:24 Features for EURUSD.r: price=1.09804, atr=0.00083500, signal=buy
2025.04.10 08:15:24 Features for USDJPY.r: price=146.69400, atr=0.16942857, signal=hold
2025.04.10 08:15:24 Features for XAUUSD.r: price=3130.01000, atr=8.07142857, signal=hold
